serial_number,model,type,status,commissionning,last_inspection,certificate,infos,notes,column_id
1,excelium,residential,active,2017-08-08 00:06,2018-11-01 00:10,,Proin at turpis a pede posuere nonummy. Integer non velit.,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,1
2,premium,residential,active,2018-08-04 03:48,2018-02-02 22:06,,Quisque porta volutpat erat.,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",2
3,excelium,commercial,intervention,2019-03-21 11:46,2019-03-31 01:35,,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.","Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",3
4,premium,residential,active,2016-12-05 12:56,2018-11-27 05:19,,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",4
5,standard,commercial,active,2016-11-29 21:53,2018-03-03 14:14,,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,5
6,standard,commercial,active,2017-04-07 12:58,2018-03-08 23:02,,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,6
7,premium,commercial,active,2019-04-20 23:27,2018-01-06 01:48,,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",,7
8,excelium,corporate,active,2017-06-29 02:59,2018-04-11 17:39,,Aliquam non mauris. Morbi non lectus.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",8
9,premium,residential,intervention,2017-09-08 13:58,2019-05-15 09:06,,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.","Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",9
10,premium,residential,active,2019-06-28 16:32,2018-11-05 17:15,,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,In eleifend quam a odio.,10
11,standard,commercial,active,2017-02-01 10:52,2019-04-18 23:30,,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",,11
12,premium,commercial,active,2018-01-29 05:59,2019-03-25 16:40,,Donec ut mauris eget massa tempor convallis.,Duis mattis egestas metus. Aenean fermentum.,12
13,standard,corporate,active,2018-10-25 06:10,2018-07-07 22:40,,Pellentesque ultrices mattis odio. Donec vitae nisi.,Ut at dolor quis odio consequat varius. Integer ac leo.,13
14,premium,residential,intervention,2016-11-22 11:48,2019-05-07 21:48,,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",,14
15,standard,residential,active,2019-02-23 03:44,2018-01-21 08:55,,Morbi ut odio.,,15
16,premium,commercial,active,2017-12-21 19:41,2018-08-22 03:03,,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Pellentesque ultrices mattis odio. Donec vitae nisi.,16
17,excelium,residential,active,2019-07-09 03:39,2019-01-13 23:10,,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,,17
18,standard,corporate,active,2016-10-19 23:31,2018-05-23 07:54,,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,18
19,standard,corporate,active,2018-06-19 23:08,2017-07-06 22:50,,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",19
20,premium,residential,intervention,2018-05-24 22:36,2019-06-10 14:09,,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",20
21,standard,residential,active,2018-03-28 10:57,2017-10-03 20:57,,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,Curabitur convallis.,21
22,excelium,commercial,active,2019-03-14 08:35,2019-04-21 08:33,,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.","Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",22
